pm10,pm25,so2,co,o3,no2,categori
58,82,25,13,22,26,SEDANG
62,86,31,13,17,29,SEDANG
56,74,39,18,13,35,SEDANG
56,80,28,25,17,39,SEDANG
64,84,29,17,16,34,SEDANG
54,68,26,21,13,45,SEDANG
75,109,33,25,21,44,TIDAK SEHAT
52,64,24,16,18,31,SEDANG
44,58,27,15,16,32,SEDANG
54,79,26,17,24,43,SEDANG
65,90,31,17,17,39,SEDANG
59,82,36,14,17,32,SEDANG
54,66,31,10,21,23,SEDANG
65,94,27,18,22,32,SEDANG
55,79,24,18,26,38,SEDANG
66,94,30,15,20,28,SEDANG
65,94,26,19,19,38,SEDANG
60,82,50,16,64,26,SEDANG
68,92,54,16,76,28,SEDANG
68,93,57,16,61,32,SEDANG
66,86,46,12,76,13,SEDANG
64,84,51,16,65,25,SEDANG
61,80,50,11,72,14,SEDANG
61,83,52,15,68,24,SEDANG
70,99,53,14,72,23,SEDANG
68,87,54,13,67,22,SEDANG
71,99,56,15,48,32,SEDANG
65,90,51,12,61,25,SEDANG
67,91,54,12,57,25,SEDANG
55,73,52,11,58,17,SEDANG
69,91,53,12,58,20,SEDANG
69,90,52,11,44,16,SEDANG
67,85,66,17,43,28,SEDANG
61,84,51,20,44,33,SEDANG
77,98,59,15,49,27,SEDANG
64,77,59,16,41,43,SEDANG
81,108,66,18,44,35,TIDAK SEHAT
62,75,55,14,44,28,SEDANG
59,72,54,14,38,27,SEDANG
66,91,51,13,51,28,SEDANG
80,99,54,14,42,28,SEDANG
70,84,58,12,40,23,SEDANG
62,79,53,9,53,17,SEDANG
67,94,57,11,57,18,SEDANG
65,93,53,16,61,28,SEDANG
75,102,52,12,51,18,TIDAK SEHAT
79,105,57,14,55,28,TIDAK SEHAT
73,105,43,12,---,22,TIDAK SEHAT
62,81,45,8,---,17,SEDANG
58,78,49,8,---,16,SEDANG
59,86,48,6,---,15,SEDANG
58,87,44,8,23,15,SEDANG
63,95,45,11,26,19,SEDANG
55,78,47,7,24,14,SEDANG
54,82,48,7,34,15,SEDANG
59,88,48,8,26,16,SEDANG
67,97,48,14,26,22,SEDANG
60,86,47,9,30,17,SEDANG
53,73,49,6,35,13,SEDANG
49,71,49,6,32,12,SEDANG
59,88,49,7,23,15,SEDANG
73,114,52,9,24,21,TIDAK SEHAT
63,89,51,10,21,17,SEDANG
66,99,50,14,21,19,SEDANG
62,87,48,10,25,21,SEDANG
63,93,50,7,18,22,SEDANG
80,111,52,7,24,29,TIDAK SEHAT
53,64,48,4,22,17,SEDANG
34,56,50,5,24,15,SEDANG
59,89,52,9,29,23,SEDANG
69,106,51,9,26,19,TIDAK SEHAT
85,127,51,11,27,22,TIDAK SEHAT
58,80,51,5,25,15,SEDANG
72,110,50,9,29,15,TIDAK SEHAT
58,81,50,6,26,14,SEDANG
71,30,52,8,25,19,SEDANG
79,26,49,10,23,19,SEDANG
65,105,41,---,36,30,TIDAK SEHAT
63,100,41,---,36,21,SEDANG
54,89,41,11,32,20,SEDANG
62,100,43,7,41,17,SEDANG
57,93,41,11,36,23,SEDANG
56,93,41,9,38,20,SEDANG
50,86,41,9,37,21,SEDANG
62,103,44,---,30,29,TIDAK SEHAT
68,108,43,---,27,28,TIDAK SEHAT
68,108,37,9,32,28,TIDAK SEHAT
64,99,---,9,35,26,SEDANG
55,93,27,13,30,24,SEDANG
49,80,36,12,32,23,SEDANG
63,103,35,13,28,21,TIDAK SEHAT
67,111,42,13,22,25,TIDAK SEHAT
62,88,35,20,19,22,SEDANG
64,102,35,28,20,28,TIDAK SEHAT
67,102,38,19,18,24,TIDAK SEHAT
56,102,31,19,15,31,TIDAK SEHAT
74,140,36,22,20,26,TIDAK SEHAT
51,90,29,14,19,21,SEDANG
47,84,33,16,21,22,SEDANG
58,107,38,14,23,25,TIDAK SEHAT
66,119,37,15,16,27,TIDAK SEHAT
82,147,39,18,20,24,TIDAK SEHAT
67,118,36,10,26,18,TIDAK SEHAT
72,134,34,18,29,22,TIDAK SEHAT
60,117,36,18,30,22,TIDAK SEHAT
65,124,34,13,27,21,TIDAK SEHAT
65,125,36,14,21,29,TIDAK SEHAT
57,98,27,12,26,22,SEDANG
57,92,25,15,27,27,SEDANG
53,90,23,18,19,36,SEDANG
53,89,29,9,25,19,SEDANG
57,---,24,15,21,29,SEDANG
54,---,23,13,25,22,SEDANG
53,---,25,12,32,21,SEDANG
52,91,25,12,27,28,SEDANG
52,86,29,9,28,19,SEDANG
61,108,24,18,22,34,TIDAK SEHAT
53,87,22,10,29,25,SEDANG
49,81,28,10,29,26,SEDANG
47,77,25,10,23,20,SEDANG
57,98,27,13,18,25,SEDANG
56,89,42,10,16,27,SEDANG
58,97,28,25,9,55,SEDANG
54,90,30,17,16,41,SEDANG
62,101,28,23,16,45,TIDAK SEHAT
53,83,34,19,11,45,SEDANG
74,123,47,26,20,58,TIDAK SEHAT
50,68,23,16,12,35,SEDANG
35,67,28,13,13,35,SEDANG
58,103,26,14,23,28,TIDAK SEHAT
64,107,39,19,17,52,TIDAK SEHAT
76,129,35,30,14,63,TIDAK SEHAT
45,70,39,8,16,22,SEDANG
68,120,28,22,17,41,TIDAK SEHAT
59,99,25,17,21,30,SEDANG
72,128,35,24,21,50,TIDAK SEHAT
64,106,28,16,14,33,TIDAK SEHAT
55,76,27,14,20,31,SEDANG
55,70,33,16,14,30,SEDANG
58,81,33,12,19,25,SEDANG
68,102,27,11,27,22,TIDAK SEHAT
71,106,28,12,34,25,TIDAK SEHAT
56,74,26,9,29,29,SEDANG
64,86,34,10,22,27,SEDANG
68,94,32,10,26,26,SEDANG
70,101,33,9,28,25,TIDAK SEHAT
64,83,35,7,24,23,SEDANG
54,71,32,6,21,15,SEDANG
46,59,29,5,18,13,SEDANG
63,89,33,10,18,24,SEDANG
53,69,28,10,17,23,SEDANG
66,95,31,12,24,30,SEDANG
71,97,30,11,24,29,SEDANG
63,80,29,8,28,20,SEDANG
63,89,31,8,32,19,SEDANG
66,95,26,10,32,28,SEDANG
74,100,27,15,24,24,SEDANG
48,66,27,7,26,17,SEDANG
53,76,31,9,24,26,SEDANG
58,80,26,9,27,28,SEDANG
53,79,26,13,21,34,SEDANG
70,108,25,23,28,38,TIDAK SEHAT
65,95,27,14,17,32,SEDANG
61,91,29,10,23,28,SEDANG
68,102,31,13,20,30,TIDAK SEHAT
59,85,28,13,24,32,SEDANG
73,105,29,12,39,35,TIDAK SEHAT
54,72,26,7,27,24,SEDANG
64,81,53,12,48,28,SEDANG
68,81,56,14,40,27,SEDANG
72,100,54,11,44,23,SEDANG
94,129,51,15,50,23,TIDAK SEHAT
77,111,56,12,62,20,TIDAK SEHAT
64,79,51,10,55,17,SEDANG
84,108,54,11,51,23,TIDAK SEHAT
83,111,56,11,50,24,TIDAK SEHAT
92,120,59,11,56,26,TIDAK SEHAT
78,104,54,10,63,17,TIDAK SEHAT
---,---,54,10,54,13,SEDANG
64,---,52,9,44,13,SEDANG
78,119,54,11,43,23,TIDAK SEHAT
56,75,51,12,50,23,SEDANG
79,111,62,11,56,26,TIDAK SEHAT
85,115,53,11,53,19,TIDAK SEHAT
74,99,55,10,58,20,SEDANG
82,114,55,11,58,17,TIDAK SEHAT
74,100,51,10,77,13,SEDANG
86,113,51,14,60,19,TIDAK SEHAT
54,72,52,9,58,13,SEDANG
60,82,53,11,54,22,SEDANG
61,---,52,9,59,20,SEDANG
66,95,54,13,51,30,SEDANG
81,112,55,16,54,28,TIDAK SEHAT
79,109,54,12,46,22,TIDAK SEHAT
82,112,56,12,41,27,TIDAK SEHAT
82,113,53,13,40,28,TIDAK SEHAT
69,97,52,12,53,24,SEDANG
90,117,54,12,81,29,TIDAK SEHAT
63,---,50,8,65,18,SEDANG
64,92,48,8,22,18,SEDANG
60,84,47,7,23,18,SEDANG
80,124,45,10,28,17,TIDAK SEHAT
86,132,44,9,28,14,TIDAK SEHAT
67,105,46,7,38,15,TIDAK SEHAT
68,102,44,7,32,16,TIDAK SEHAT
73,109,48,8,31,17,TIDAK SEHAT
71,110,50,6,33,16,TIDAK SEHAT
79,119,51,7,34,17,TIDAK SEHAT
67,97,51,4,31,14,SEDANG
60,80,47,5,21,14,SEDANG
50,---,47,4,14,11,BAIK
62,99,50,8,25,18,SEDANG
66,94,45,6,23,15,SEDANG
80,126,49,9,28,23,TIDAK SEHAT
84,123,49,7,29,16,TIDAK SEHAT
70,102,49,5,31,14,TIDAK SEHAT
79,121,49,5,33,16,TIDAK SEHAT
80,122,48,4,33,17,TIDAK SEHAT
77,110,45,5,25,18,TIDAK SEHAT
54,81,45,4,19,13,SEDANG
57,79,49,5,22,20,SEDANG
63,91,46,5,38,16,SEDANG
51,73,45,4,29,12,SEDANG
68,102,47,6,32,17,TIDAK SEHAT
69,103,49,6,28,17,TIDAK SEHAT
64,96,50,11,30,15,SEDANG
76,124,49,18,26,20,TIDAK SEHAT
73,28,47,17,26,18,SEDANG
75,29,51,14,43,21,SEDANG
57,26,9,18,31,29,SEDANG
62,114,37,13,23,27,TIDAK SEHAT
59,108,40,10,18,23,TIDAK SEHAT
72,141,37,13,25,20,TIDAK SEHAT
84,161,38,14,27,22,TIDAK SEHAT
83,153,39,13,31,26,TIDAK SEHAT
58,100,38,9,31,22,SEDANG
69,130,40,12,26,26,TIDAK SEHAT
74,145,40,10,29,25,TIDAK SEHAT
87,156,42,11,30,25,TIDAK SEHAT
71,132,45,9,29,21,TIDAK SEHAT
66,119,39,10,21,17,TIDAK SEHAT
67,119,39,11,20,23,TIDAK SEHAT
57,116,39,13,20,26,TIDAK SEHAT
95,174,40,15,22,24,TIDAK SEHAT
71,138,37,11,24,29,TIDAK SEHAT
73,134,35,9,26,19,TIDAK SEHAT
75,150,37,12,32,22,TIDAK SEHAT
74,140,36,11,32,21,TIDAK SEHAT
80,147,38,13,26,21,TIDAK SEHAT
55,102,36,9,30,18,TIDAK SEHAT
57,110,39,9,28,26,TIDAK SEHAT
56,104,36,10,35,25,TIDAK SEHAT
56,104,37,12,27,25,TIDAK SEHAT
81,148,38,22,28,24,TIDAK SEHAT
68,131,39,14,24,25,TIDAK SEHAT
71,140,40,12,24,26,TIDAK SEHAT
73,145,39,14,24,27,TIDAK SEHAT
66,130,40,12,25,25,TIDAK SEHAT
83,154,39,15,37,34,TIDAK SEHAT
56,100,38,9,29,22,SEDANG
54,88,31,12,17,28,SEDANG
56,90,29,23,11,51,SEDANG
60,103,31,13,20,27,TIDAK SEHAT
73,126,32,13,26,25,TIDAK SEHAT
66,115,35,11,36,20,TIDAK SEHAT
52,80,32,8,32,23,SEDANG
60,101,36,10,31,23,TIDAK SEHAT
62,108,37,10,30,23,TIDAK SEHAT
65,113,40,11,34,22,TIDAK SEHAT
55,85,42,6,26,17,SEDANG
46,70,40,6,18,13,SEDANG
39,58,28,6,14,14,SEDANG
59,102,42,11,19,26,TIDAK SEHAT
51,82,38,9,20,26,SEDANG
75,129,35,14,26,26,TIDAK SEHAT
70,114,33,11,30,22,TIDAK SEHAT
57,89,32,8,32,19,SEDANG
67,115,33,13,34,27,TIDAK SEHAT
61,108,28,9,38,20,TIDAK SEHAT
70,112,32,14,24,21,TIDAK SEHAT
49,80,31,8,18,19,SEDANG
51,85,37,9,22,27,SEDANG
53,85,30,8,27,25,SEDANG
49,83,27,11,23,32,SEDANG
77,131,28,24,27,42,TIDAK SEHAT
66,116,29,16,24,31,TIDAK SEHAT
64,110,32,13,29,35,TIDAK SEHAT
70,130,33,17,28,45,TIDAK SEHAT
78,140,32,18,29,39,TIDAK SEHAT
75,121,37,12,50,21,TIDAK SEHAT
53,80,29,6,34,13,SEDANG
51,68,25,8,29,22,SEDANG
47,63,24,10,25,28,SEDANG
50,68,26,11,19,35,SEDANG
52,70,29,8,24,26,SEDANG
52,66,29,9,21,27,SEDANG
56,73,28,15,11,28,SEDANG
55,71,31,7,18,18,SEDANG
53,69,33,6,23,16,SEDANG
52,60,30,6,25,15,SEDANG
32,50,25,7,29,16,BAIK
55,73,25,10,24,25,SEDANG
55,70,28,8,20,19,SEDANG
56,75,28,10,17,28,SEDANG
65,92,30,15,24,36,SEDANG
56,72,31,8,17,20,SEDANG
53,70,30,8,17,19,SEDANG
56,77,28,13,26,22,SEDANG
59,78,25,11,27,26,SEDANG
60,89,31,15,24,35,SEDANG
58,84,29,11,32,34,SEDANG
59,80,25,13,26,35,SEDANG
59,81,28,14,25,28,SEDANG
56,77,28,10,25,27,SEDANG
59,87,27,12,32,30,SEDANG
62,89,26,12,34,34,SEDANG
56,77,27,10,22,33,SEDANG
62,89,30,11,25,31,SEDANG
65,93,26,11,40,27,SEDANG
65,96,28,12,30,29,SEDANG
79,112,27,17,39,41,TIDAK SEHAT
64,86,27,12,35,33,SEDANG
55,75,50,9,67,13,SEDANG
52,69,50,10,59,16,SEDANG
61,85,53,12,47,25,SEDANG
64,89,53,9,50,14,SEDANG
61,79,55,9,58,18,SEDANG
76,100,58,17,38,31,SEDANG
63,79,53,8,48,16,SEDANG
60,78,53,9,57,12,SEDANG
56,67,52,8,57,10,SEDANG
36,53,48,8,55,9,SEDANG
58,83,50,10,59,17,SEDANG
65,88,52,10,47,18,SEDANG
58,79,51,10,49,19,SEDANG
69,94,53,11,53,21,SEDANG
63,84,53,9,46,16,SEDANG
60,80,54,9,42,17,SEDANG
62,84,51,9,40,14,SEDANG
59,83,51,9,42,17,SEDANG
72,101,55,13,26,36,TIDAK SEHAT
73,97,55,12,34,30,SEDANG
60,87,51,10,29,21,SEDANG
71,100,52,13,25,26,SEDANG
63,86,52,9,33,13,SEDANG
69,101,52,9,41,18,TIDAK SEHAT
69,98,51,11,38,24,SEDANG
61,84,51,9,26,18,SEDANG
63,90,52,10,32,21,SEDANG
76,104,51,10,41,22,TIDAK SEHAT
68,97,52,10,30,16,SEDANG
79,110,52,12,38,29,TIDAK SEHAT
74,96,51,10,48,19,SEDANG
51,66,44,9,31,11,SEDANG
48,65,47,10,29,12,SEDANG
45,66,48,9,30,13,SEDANG
56,82,51,8,27,14,SEDANG
52,82,51,11,23,15,SEDANG
52,77,42,16,19,18,SEDANG
59,84,45,10,23,14,SEDANG
57,84,47,9,26,13,SEDANG
53,69,45,7,25,10,SEDANG
36,54,41,6,27,12,SEDANG
61,88,44,12,30,14,SEDANG
54,73,46,7,32,11,SEDANG
61,91,46,11,29,16,SEDANG
69,102,45,14,29,16,TIDAK SEHAT
57,84,45,12,22,15,SEDANG
53,79,48,9,24,15,SEDANG
60,88,45,11,30,13,SEDANG
58,86,43,10,35,11,SEDANG
68,104,45,14,27,14,TIDAK SEHAT
57,83,46,10,29,14,SEDANG
53,80,44,10,33,15,SEDANG
58,88,49,14,29,18,SEDANG
66,100,46,13,31,17,SEDANG
66,100,46,11,32,15,SEDANG
57,81,44,10,33,11,SEDANG
54,82,46,9,30,15,SEDANG
62,92,47,9,31,13,SEDANG
63,94,46,10,42,17,SEDANG
67,28,46,12,35,15,SEDANG
87,27,46,16,38,17,SEDANG
64,27,10,19,38,32,SEDANG
51,86,39,8,30,22,SEDANG
42,81,38,9,27,20,SEDANG
55,104,38,12,21,25,TIDAK SEHAT
51,87,41,7,23,20,SEDANG
53,90,38,8,21,19,SEDANG
59,105,37,16,13,21,TIDAK SEHAT
59,101,38,8,19,18,TIDAK SEHAT
54,92,40,7,21,17,SEDANG
48,82,40,6,26,16,SEDANG
35,68,38,6,30,19,SEDANG
56,102,39,11,27,23,TIDAK SEHAT
57,104,40,8,21,20,TIDAK SEHAT
55,101,40,11,19,25,TIDAK SEHAT
58,98,41,9,21,21,SEDANG
63,114,39,11,15,21,TIDAK SEHAT
55,100,41,8,17,21,SEDANG
59,103,41,8,24,20,TIDAK SEHAT
58,97,38,9,30,20,SEDANG
67,119,42,13,28,28,TIDAK SEHAT
64,106,40,11,28,23,TIDAK SEHAT
50,85,39,8,25,21,SEDANG
74,134,43,14,22,29,TIDAK SEHAT
63,106,40,10,24,20,TIDAK SEHAT
61,110,42,11,26,24,TIDAK SEHAT
62,106,42,9,26,28,TIDAK SEHAT
53,91,40,7,28,19,SEDANG
58,105,39,10,28,22,TIDAK SEHAT
65,123,38,10,36,23,TIDAK SEHAT
66,122,39,12,28,25,TIDAK SEHAT
76,140,41,16,30,31,TIDAK SEHAT
61,109,41,10,32,26,TIDAK SEHAT
44,70,30,8,29,11,SEDANG
46,75,27,8,27,12,SEDANG
53,80,30,9,27,21,SEDANG
46,74,33,7,26,18,SEDANG
50,78,30,9,17,21,SEDANG
57,94,31,20,12,52,SEDANG
50,71,37,7,19,18,SEDANG
49,73,39,7,23,13,SEDANG
45,61,39,4,21,14,SEDANG
26,52,27,6,24,14,SEDANG
54,92,29,11,25,25,SEDANG
54,78,32,7,27,18,SEDANG
61,100,33,11,21,32,SEDANG
73,116,38,14,26,40,TIDAK SEHAT
62,87,33,12,17,30,SEDANG
51,74,35,7,22,20,SEDANG
59,89,32,8,26,19,SEDANG
62,97,28,9,30,17,SEDANG
63,106,38,13,26,33,TIDAK SEHAT
55,81,39,8,34,27,SEDANG
58,89,32,10,31,24,SEDANG
62,94,35,12,24,29,SEDANG
59,88,31,9,22,22,SEDANG
60,97,31,7,32,12,SEDANG
63,95,31,10,29,20,SEDANG
64,96,32,9,31,14,SEDANG
61,96,34,8,29,15,SEDANG
63,100,31,8,44,12,SEDANG
67,111,32,10,36,13,TIDAK SEHAT
83,126,35,16,32,29,TIDAK SEHAT
60,92,30,7,32,14,SEDANG
63,88,29,15,24,38,SEDANG
60,83,29,11,30,28,SEDANG
60,82,27,11,37,30,SEDANG
58,77,26,10,31,28,SEDANG
63,85,27,11,28,28,SEDANG
68,92,31,11,26,24,SEDANG
52,65,28,9,19,24,SEDANG
53,76,25,16,23,34,SEDANG
45,62,25,12,27,31,SEDANG
51,66,27,10,25,32,SEDANG
66,93,32,12,34,41,SEDANG
61,80,26,10,28,27,SEDANG
51,64,29,8,23,21,SEDANG
31,42,24,8,20,19,BAIK
54,81,29,20,20,45,SEDANG
48,65,29,9,23,24,SEDANG
42,66,29,7,26,20,SEDANG
50,73,29,8,23,22,SEDANG
53,78,26,8,33,19,SEDANG
51,69,27,10,25,34,SEDANG
55,81,28,11,29,36,SEDANG
57,80,29,11,24,32,SEDANG
54,80,29,8,27,22,SEDANG
57,74,34,8,20,26,SEDANG
49,67,31,7,24,20,SEDANG
52,72,28,6,28,19,SEDANG
51,72,27,12,22,33,SEDANG
45,63,25,9,24,28,SEDANG
54,76,26,12,29,38,SEDANG
63,94,27,13,38,37,SEDANG
79,102,55,14,30,29,TIDAK SEHAT
66,89,52,10,39,19,SEDANG
66,87,51,9,39,18,SEDANG
62,79,50,9,37,18,SEDANG
74,100,52,12,35,22,SEDANG
66,87,51,10,34,13,SEDANG
58,72,51,9,27,16,SEDANG
64,87,52,13,27,31,SEDANG
68,88,54,12,35,29,SEDANG
58,77,53,9,32,20,SEDANG
70,99,53,11,46,22,SEDANG
66,82,51,9,36,12,SEDANG
56,71,52,9,27,14,SEDANG
36,47,50,8,47,15,BAIK
69,95,54,17,45,35,SEDANG
52,66,52,8,52,15,SEDANG
46,66,51,7,53,9,SEDANG
56,79,53,8,51,15,SEDANG
52,73,50,8,68,10,SEDANG
58,81,52,11,54,25,SEDANG
61,85,52,10,58,19,SEDANG
64,82,54,10,48,22,SEDANG
61,85,53,8,53,13,SEDANG
57,76,53,8,47,13,SEDANG
55,81,52,8,50,13,SEDANG
56,74,---,7,54,6,SEDANG
53,77,---,11,47,17,SEDANG
49,71,---,8,49,13,SEDANG
54,81,57,10,63,16,SEDANG
71,105,63,12,63,24,TIDAK SEHAT
57,83,46,13,32,14,SEDANG
65,99,46,15,29,16,SEDANG
56,86,45,9,39,13,SEDANG
53,77,45,9,30,13,SEDANG
61,93,46,11,36,14,SEDANG
73,108,48,13,29,15,TIDAK SEHAT
60,84,48,11,26,15,SEDANG
60,82,48,12,29,15,SEDANG
48,61,46,9,31,12,SEDANG
49,71,49,9,36,15,SEDANG
61,89,50,10,43,16,SEDANG
55,78,47,9,30,13,SEDANG
51,65,47,8,26,11,SEDANG
32,51,46,7,21,11,SEDANG
53,81,50,17,24,22,SEDANG
51,72,50,10,27,15,SEDANG
47,72,49,7,29,13,SEDANG
55,80,50,9,27,15,SEDANG
56,81,48,10,31,12,SEDANG
45,59,49,7,33,10,SEDANG
54,78,50,9,35,15,SEDANG
57,78,49,14,26,18,SEDANG
57,82,51,10,29,16,SEDANG
55,77,52,8,27,15,SEDANG
54,75,50,11,22,16,SEDANG
54,74,50,10,27,13,SEDANG
48,71,49,12,26,16,SEDANG
46,---,49,10,32,13,BAIK
61,26,49,13,31,22,SEDANG
67,27,49,16,40,19,SEDANG
68,118,40,16,26,27,TIDAK SEHAT
65,115,39,12,26,25,TIDAK SEHAT
62,111,42,10,34,23,TIDAK SEHAT
57,93,42,9,31,19,SEDANG
69,120,43,12,27,26,TIDAK SEHAT
62,109,42,9,29,16,TIDAK SEHAT
56,86,42,8,21,21,SEDANG
63,106,40,15,29,25,TIDAK SEHAT
52,82,41,12,27,24,SEDANG
45,80,42,8,26,19,SEDANG
59,109,43,10,33,30,TIDAK SEHAT
63,111,41,10,24,19,TIDAK SEHAT
54,88,42,7,18,16,SEDANG
36,61,41,6,19,15,SEDANG
60,110,42,19,18,23,TIDAK SEHAT
53,89,42,7,28,15,SEDANG
50,85,42,6,29,14,SEDANG
57,101,43,7,23,15,TIDAK SEHAT
---,99,44,9,32,20,SEDANG
---,119,44,10,22,21,TIDAK SEHAT
---,116,43,9,24,18,TIDAK SEHAT
---,109,46,8,21,18,TIDAK SEHAT
---,102,45,7,26,16,TIDAK SEHAT
---,98,45,7,33,12,SEDANG
---,89,42,11,29,19,SEDANG
---,69,41,6,38,15,SEDANG
---,102,45,13,38,24,TIDAK SEHAT
---,117,45,13,40,27,TIDAK SEHAT
64,95,30,12,28,26,SEDANG
62,101,28,9,25,18,TIDAK SEHAT
56,92,7,6,45,9,SEDANG
58,84,---,6,37,11,SEDANG
57,89,---,7,36,11,SEDANG
65,95,---,8,27,13,SEDANG
56,77,---,6,19,17,SEDANG
51,78,---,8,28,15,SEDANG
47,69,---,8,32,15,SEDANG
46,73,---,6,39,13,SEDANG
60,98,---,8,45,16,SEDANG
58,84,---,7,29,12,SEDANG
51,70,---,6,20,10,SEDANG
26,37,---,3,17,8,BAIK
53,79,---,14,22,26,SEDANG
38,59,---,4,23,14,SEDANG
35,60,---,3,25,12,SEDANG
46,69,---,5,27,12,SEDANG
53,83,---,7,28,10,SEDANG
45,65,---,5,30,10,SEDANG
47,77,---,6,34,13,SEDANG
53,78,---,7,25,16,SEDANG
53,77,---,6,27,14,SEDANG
51,73,---,6,20,17,SEDANG
45,64,---,4,24,12,SEDANG
48,67,---,4,30,9,SEDANG
51,78,---,9,22,18,SEDANG
42,64,---,5,26,14,SEDANG
56,87,---,11,34,19,SEDANG
68,108,---,10,46,13,TIDAK SEHAT
57,81,30,11,32,38,SEDANG
67,99,32,11,30,35,SEDANG
70,85,29,10,28,28,SEDANG
58,82,30,11,34,29,SEDANG
55,76,29,11,30,33,SEDANG
60,83,38,10,26,35,SEDANG
45,62,29,9,21,28,SEDANG
54,77,33,11,24,35,SEDANG
52,69,27,9,32,29,SEDANG
58,83,26,9,38,26,SEDANG
59,80,29,10,35,30,SEDANG
56,76,37,9,23,35,SEDANG
52,67,28,8,25,31,SEDANG
64,90,33,11,35,35,SEDANG
75,106,29,12,34,37,TIDAK SEHAT
66,95,28,15,32,44,SEDANG
65,93,34,11,36,30,SEDANG
44,55,25,9,19,26,SEDANG
41,58,29,14,15,30,SEDANG
33,53,29,10,21,27,SEDANG
45,65,25,9,28,32,SEDANG
64,95,31,18,19,48,SEDANG
57,83,29,10,20,36,SEDANG
58,85,27,11,28,36,SEDANG
62,95,27,14,33,37,SEDANG
55,78,29,14,23,43,SEDANG
55,76,29,15,22,39,SEDANG
51,69,28,16,22,39,SEDANG
50,64,31,19,18,35,SEDANG
48,68,31,12,25,40,SEDANG
53,70,27,11,32,32,SEDANG
57,84,59,10,65,16,SEDANG
70,103,61,10,58,17,TIDAK SEHAT
64,86,62,11,53,18,SEDANG
62,95,60,11,64,24,SEDANG
65,90,67,11,54,27,SEDANG
65,91,66,9,58,23,SEDANG
49,64,60,9,50,20,SEDANG
60,85,64,10,54,20,SEDANG
53,77,62,9,60,19,SEDANG
60,83,61,9,72,12,SEDANG
68,100,64,12,66,26,SEDANG
77,105,76,12,49,31,TIDAK SEHAT
57,76,63,9,58,18,SEDANG
73,105,65,12,70,28,TIDAK SEHAT
82,108,64,13,64,27,TIDAK SEHAT
64,95,63,13,63,28,SEDANG
71,---,63,12,65,22,SEDANG
50,60,58,9,45,13,SEDANG
46,63,60,16,42,29,SEDANG
50,67,73,11,50,26,SEDANG
52,68,61,9,57,24,SEDANG
73,115,82,14,46,38,TIDAK SEHAT
67,95,81,10,53,28,SEDANG
62,96,60,12,62,21,SEDANG
65,100,62,12,70,27,SEDANG
63,83,67,13,50,32,SEDANG
62,86,64,10,49,21,SEDANG
51,70,67,12,49,30,SEDANG
54,74,80,14,49,26,SEDANG
64,90,81,13,56,32,SEDANG
56,79,63,12,56,28,SEDANG
58,77,49,9,35,11,SEDANG
64,100,50,12,28,27,SEDANG
54,76,50,8,32,14,SEDANG
52,72,50,9,36,11,SEDANG
42,65,51,7,36,10,SEDANG
48,67,51,6,34,11,SEDANG
44,62,50,7,28,11,SEDANG
45,63,51,7,38,11,SEDANG
55,77,51,9,40,14,SEDANG
58,79,51,10,39,12,SEDANG
47,65,51,8,37,11,SEDANG
52,71,52,9,38,15,SEDANG
61,88,51,12,32,17,SEDANG
72,107,52,14,40,19,TIDAK SEHAT
64,92,51,15,35,18,SEDANG
65,95,51,15,39,18,SEDANG
51,66,50,11,24,15,SEDANG
45,61,50,15,18,17,SEDANG
36,52,51,10,29,12,SEDANG
53,74,53,11,29,15,SEDANG
58,82,51,15,---,17,SEDANG
59,87,52,13,39,21,SEDANG
68,102,51,17,47,18,TIDAK SEHAT
62,90,51,13,38,15,SEDANG
51,71,51,13,30,15,SEDANG
45,64,52,8,33,13,SEDANG
47,60,51,14,15,18,SEDANG
37,31,52,17,13,18,SEDANG
48,31,51,12,39,18,SEDANG
45,27,---,28,39,---,BAIK
---,91,45,10,35,33,SEDANG
---,127,46,10,35,19,TIDAK SEHAT
---,96,44,9,32,19,SEDANG
---,110,44,11,33,24,TIDAK SEHAT
66,103,47,8,37,17,TIDAK SEHAT
52,77,41,7,27,23,SEDANG
58,98,45,9,30,22,SEDANG
55,83,47,7,36,21,SEDANG
61,97,42,9,43,16,SEDANG
62,100,43,10,44,26,SEDANG
70,111,47,9,32,25,TIDAK SEHAT
---,91,44,8,38,19,SEDANG
---,131,44,12,45,32,TIDAK SEHAT
100,157,41,15,50,26,TIDAK SEHAT
67,122,40,14,51,23,TIDAK SEHAT
---,126,39,13,53,27,TIDAK SEHAT
57,88,42,11,32,19,SEDANG
52,80,41,18,31,23,SEDANG
---,96,45,10,33,17,SEDANG
---,---,44,10,48,18,BAIK
71,120,45,13,36,21,TIDAK SEHAT
65,109,45,10,35,20,TIDAK SEHAT
68,113,44,15,39,23,TIDAK SEHAT
62,104,44,11,41,22,TIDAK SEHAT
75,130,45,16,36,24,TIDAK SEHAT
59,90,43,10,50,21,SEDANG
54,78,40,11,56,18,SEDANG
51,79,41,15,45,15,SEDANG
62,103,43,15,58,18,TIDAK SEHAT
---,79,---,---,---,---,SEDANG
55,84,---,8,34,12,SEDANG
67,102,---,10,31,16,TIDAK SEHAT
55,82,---,8,28,12,SEDANG
53,80,---,7,31,10,SEDANG
52,79,---,10,35,16,SEDANG
52,74,---,6,28,14,SEDANG
