pm10,pm25,so2,co,o3,no2,categori
30,42,38,4,55,15,SEDANG
24,35,38,4,42,15,BAIK
33,50,39,7,47,15,BAIK
25,35,39,5,45,13,BAIK
30,38,37,---,57,9,SEDANG
28,30,37,---,57,5,SEDANG
26,31,37,---,54,12,SEDANG
33,50,39,6,47,16,BAIK
34,46,39,4,49,10,BAIK
33,49,43,6,35,11,BAIK
43,62,43,14,33,11,SEDANG
27,47,38,8,40,11,BAIK
34,53,40,11,42,14,SEDANG
36,52,39,13,37,17,SEDANG
28,41,38,11,42,15,BAIK
41,61,40,25,41,27,SEDANG
40,55,44,10,41,16,SEDANG
32,51,42,16,41,20,SEDANG
31,34,38,8,53,9,SEDANG
36,40,39,9,48,9,BAIK
60,69,42,15,41,19,SEDANG
48,61,40,9,54,17,SEDANG
30,39,40,10,33,10,BAIK
30,45,43,12,45,12,BAIK
45,54,43,13,---,19,SEDANG
59,71,44,15,50,20,SEDANG
66,76,40,14,60,18,SEDANG
73,110,28,18,26,18,TIDAK SEHAT
53,70,25,10,27,14,SEDANG
32,53,27,6,24,9,SEDANG
29,54,26,11,24,13,SEDANG
27,51,24,10,24,12,SEDANG
34,53,24,8,32,12,SEDANG
33,50,24,9,30,13,BAIK
26,42,24,9,35,12,BAIK
33,53,25,9,23,12,SEDANG
50,64,24,11,23,10,SEDANG
38,57,23,6,18,7,SEDANG
63,98,25,13,20,8,SEDANG
59,89,26,12,30,13,SEDANG
55,73,25,11,35,13,SEDANG
40,62,24,9,32,12,SEDANG
36,51,24,9,34,15,SEDANG
46,67,26,15,28,18,SEDANG
53,70,28,8,26,12,SEDANG
28,51,25,13,23,14,SEDANG
45,59,25,13,29,15,SEDANG
29,42,24,7,30,9,BAIK
68,103,26,22,30,14,TIDAK SEHAT
66,90,26,12,29,16,SEDANG
27,54,25,6,24,7,SEDANG
41,61,25,10,40,16,SEDANG
50,73,27,10,41,16,SEDANG
64,94,25,13,27,15,SEDANG
37,59,40,14,22,12,SEDANG
24,52,40,9,21,8,SEDANG
19,53,40,12,19,10,SEDANG
19,41,40,12,20,9,BAIK
